出镜现场报道,202320242080480000101,1-17周 星期四 2-2节 致艺楼606,1-17周 星期四 3-4节 致艺楼606,"YE CHANGQIAN"
外国美术鉴赏,202320242121022000101,1-17周 星期一 11-12节 汇德楼A304,"云雪梅"
电子工艺与工程实践,202320242280100007903,1-17周 星期五 3-4节 致信楼N105,"潘志铭"
图像处理的数学方法,202320242190199009201,1-17周 星期二 3-5节 汇文楼H1-103,"李敏"
小波分析与应用,202320242190199002801,1-17周 星期五 3-4节 汇文楼H1-101,"冯纪强,徐晨"
剧情短片创作,202320242080199001901,1-17周 星期四 2-2节 致艺楼404,1-17周 星期四 3-4节 致艺楼404,"胡刘斌"
空间数据库原理及应用,202320242100341000101,1-17周 星期五 3-5节 致理楼L2-512,"李晓明"
微波遥感,202320242100323000101,1-17周 星期四 3-4节 汇文楼H2-304,"汪驰升"
工业与工程检测,202320242100199005001,1-12周 星期五 3-5节 汇文楼H2-204,"张德津"
西方现代艺术史研究,202320242041205000101,1-17周 星期二 11-12节 致艺楼717,"刁毅飞"
计算机图形学,202320242100199005401,1-17周 星期三 7-10节 汇文楼H5-401,"赵志刚"
户外运动专项（2）,202320242120198012808,None,"None"
非虚构写作,202320242080631000101,1-17周 星期二 7-8节 致艺楼404,1-17周 星期二 9-10节 致艺楼404,"None"
艺术与生活,202320242050494000101,None,"侯佳彤"
艺术与生活,202320242050494000102,None,"侯佳彤"
艺术与生活,202320242050494000103,None,"侯佳彤"
艺术与生活,202320242050494000104,None,"侯佳彤"
艺术与生活,202320242050494000105,None,"侯佳彤"
艺术与生活,202320242050494000106,None,"侯佳彤"
艺术与生活,202320242050494000107,None,"侯佳彤"
艺术与生活,202320242050494000108,None,"侯佳彤"
非遗进校园—岭南古琴艺术与实践,202320242050199030101,1-17周 星期三 7-8节 汇德楼B507,"谢梦媞"
现代光学基础,202320242160063000201,1-17周 星期二 3-5节 致理楼L1-406,"宋宇锋"
现代光学基础,202320242160063000202,1-17周 星期四 3-5节 致理楼L3-317,"王振洪"
微机原理与接口技术,202320242190199003301,1-17周 星期四 1-2节 致理楼L1-206,2-16周(双) 星期五 7-8节 汇文楼H6-104,"郑海虹"
日语高级阅读,202320242070199005701,1-17周 星期二 9-10节 汇文楼H2-203,"外教B（外国语学院）"
多传感器测量及其数据融合,202320242270100006401,13-17周 星期三 11-13节 致原楼611,1-12周 星期三 11-13节 致理楼L1-202,"田勇"
城市规划与设计（2）,202320242100158000101,1-17周 星期五 1-4节 汇意楼C304,1-17周 星期二 1-4节 汇意楼C304,"赵勇伟,甘欣悦,陈方,邵亦文"
生态建筑学,202320242100111000101,1-17周 星期三 7-8节 汇文楼H5-301,"谢晓欢,李昊"
日语（4）（二外）,202320242070038000201,1-17周 星期二 7-8节 汇文楼H2-402,1-17周 星期四 7-8节 汇文楼H2-402,"张艳辉"
投资管理,202320242020869000101,1-11周 星期一 6-10节 汇文楼H5-202,"VLADIMIR KYSUCKY"
概率论与数理统计,202320242190199008901,1-17周 星期一 7-8节 致理楼L3-308,1-17周 星期三 7-8节 致理楼L3-308,1-17周 星期四 1-2节 致理楼L3-308,"张玉"
概率论与数理统计,202320242190199008902,1-17周 星期二 3-4节 致理楼L1-409,1-17周 星期四 9-10节 致理楼L1-409,1-17周 星期一 3-4节 汇文楼H1-101,"李松臣"
现代媒介文化,202320242080199005702,1-17周 星期二 7-8节 致艺楼204,"程遥"
数学建模,202320242190342000102,1-17周 星期三 9-10节 致理楼L1-405,1-17周 星期四 7-8节 致理楼L1-405,"李松臣"
数学分析（2）,202320242190199008502,1-17周 星期一 1-2节 致理楼L1-201,1-17周 星期三 7-8节 致理楼L1-201,1-17周 星期四 1-2节 汇文楼H2-301,"顾燕红"
